WARNING 2019-06-13 14:53:24,302 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:24,308 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:53:24,310 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:53:24,383 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:53:24,396 basehttp 154 "GET /static/js/base/common.js HTTP/1.1" 404 1682
WARNING 2019-06-13 14:53:24,410 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:53:24,429 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:53:24,430 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:24,442 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:53:24,457 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:53:24,462 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:53:24,472 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:24,472 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
INFO 2019-06-13 14:53:25,231 basehttp 154 "GET / HTTP/1.1" 200 17075
WARNING 2019-06-13 14:53:25,289 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:25,294 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:53:25,312 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:53:25,319 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:53:25,487 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:53:25,326 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:53:25,425 basehttp 154 "GET /static/js/base/common.js HTTP/1.1" 404 1682
WARNING 2019-06-13 14:53:25,470 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
